Time,CenterOfMassX,CenterOfMassY,CenterOfMassZ,RotationAngle,WeightPositionX,WeightPositionY,WeightPositionZ
160.243,-0.01163914,1.005398,0,28.59554,-0.1075355,1.041365,0
161.2451,-0.0116457,1.00535,0,28.78634,-0.1076613,1.040997,0
162.246,-0.0116522,1.005302,0,28.97715,-0.107786,1.04063,0
163.249,-0.01165865,1.005254,0,29.16799,-0.1079096,1.040261,0
164.2497,-0.01166504,1.005206,0,29.35877,-0.108032,1.039892,0
165.2566,-0.01167137,1.005157,0,29.5496,-0.1081534,1.039523,0
166.2567,-0.01167764,1.005109,0,29.7404,-0.1082735,1.039153,0
167.2635,-0.01168397,1.00506,0,29.93503,-0.108395,1.038776,0
168.2697,-0.01169012,1.005012,0,30.12583,-0.1085128,1.038405,0
169.272,-0.01169622,1.004963,0,30.31664,-0.1086296,1.038034,0
170.2746,-0.01170225,1.004915,0,30.50745,-0.1087452,1.037663,0
171.2767,-0.01170822,1.004866,0,30.69826,-0.1088597,1.037291,0
172.2771,-0.01171414,1.004818,0,30.88906,-0.1089731,1.036918,0
173.2785,-0.01171999,1.004769,0,31.07987,-0.1090853,1.036546,0
174.2804,-0.01172591,1.004719,0,31.2745,-0.1091986,1.036165,0
175.2809,-0.01173164,1.004671,0,31.46531,-0.1093085,1.035792,0
176.2836,-0.01173731,1.004622,0,31.65611,-0.1094173,1.035418,0
177.2851,-0.01174293,1.004573,0,31.84693,-0.1095249,1.035044,0
178.2867,-0.01174848,1.004524,0,32.03773,-0.1096314,1.034669,0
179.2871,-0.01175398,1.004475,0,32.22855,-0.1097368,1.034294,0
180.2898,-0.01175942,1.004427,0,32.41934,-0.1098409,1.033919,0
181.2906,-0.01176479,1.004377,0,32.61016,-0.109944,1.033543,0
182.2911,-0.01177011,1.004328,0,32.80095,-0.1100459,1.033166,0
183.2964,-0.01177537,1.004279,0,32.99179,-0.1101466,1.03279,0
184.2974,-0.01178056,1.00423,0,33.18257,-0.1102462,1.032413,0
185.3005,-0.01178581,1.00418,0,33.37724,-0.1103467,1.032028,0
186.3015,-0.01179088,1.004131,0,33.56801,-0.1104439,1.031651,0
187.3046,-0.0117959,1.004081,0,33.75886,-0.11054,1.031272,0
188.3079,-0.01180084,1.004032,0,33.94963,-0.110635,1.030894,0
189.3109,-0.01180574,1.003983,0,34.14046,-0.1107288,1.030515,0
190.3133,-0.01181057,1.003933,0,34.33125,-0.1108214,1.030136,0
191.3159,-0.01181535,1.003884,0,34.52205,-0.1109129,1.029757,0
192.3159,-0.01182006,1.003834,0,34.71287,-0.1110032,1.029377,0
193.3165,-0.01182471,1.003784,0,34.90367,-0.1110924,1.028997,0
194.3177,-0.0118293,1.003735,0,35.0945,-0.1111804,1.028617,0
195.3201,-0.01183392,1.003684,0,35.2891,-0.111269,1.028229,0
196.3225,-0.01183839,1.003635,0,35.47994,-0.1113546,1.027848,0
197.3256,-0.0118428,1.003585,0,35.67072,-0.1114391,1.027466,0
198.3262,-0.01184715,1.003535,0,35.86154,-0.1115225,1.027085,0
199.328,-0.01185144,1.003485,0,36.05233,-0.1116046,1.026703,0
200.3293,-0.01185566,1.003435,0,36.24314,-0.1116856,1.026321,0
201.3298,-0.01185983,1.003386,0,36.43396,-0.1117654,1.025938,0
202.3317,-0.01186393,1.003336,0,36.62476,-0.1118441,1.025556,0
203.3363,-0.01186797,1.003286,0,36.81559,-0.1119216,1.025172,0
204.3391,-0.01187195,1.003236,0,37.00638,-0.1119979,1.024789,0
205.3399,-0.01187588,1.003186,0,37.19719,-0.112073,1.024406,0
206.3425,-0.01187981,1.003134,0,37.39182,-0.1121485,1.024014,0
207.3454,-0.01188361,1.003084,0,37.58261,-0.1122212,1.02363,0
208.3501,-0.01188734,1.003034,0,37.77344,-0.1122929,1.023246,0
209.3521,-0.01189102,1.002984,0,37.96422,-0.1123633,1.022861,0
210.3525,-0.01189463,1.002934,0,38.15504,-0.1124325,1.022476,0
211.3527,-0.01189818,1.002884,0,38.34587,-0.1125006,1.022091,0
212.3542,-0.01190167,1.002833,0,38.53666,-0.1125675,1.021706,0
213.3556,-0.0119051,1.002783,0,38.72749,-0.1126332,1.02132,0
214.3561,-0.01190847,1.002733,0,38.91828,-0.1126978,1.020934,0
215.3578,-0.01191177,1.002682,0,39.10909,-0.1127611,1.020548,0
216.3581,-0.01191502,1.002632,0,39.29991,-0.1128233,1.020162,0
217.3587,-0.0119182,1.002582,0,39.49068,-0.1128843,1.019775,0
218.3617,-0.01192138,1.00253,0,39.68532,-0.1129453,1.01938,0
219.3633,-0.01192444,1.002479,0,39.87614,-0.1130039,1.018993,0
220.3661,-0.01192744,1.002429,0,40.06694,-0.1130613,1.018606,0
221.3682,-0.01193037,1.002379,0,40.25777,-0.1131176,1.018219,0
222.3685,-0.01193325,1.002328,0,40.44857,-0.1131727,1.017831,0
223.3724,-0.01193606,1.002278,0,40.63936,-0.1132265,1.017443,0
224.373,-0.01193881,1.002227,0,40.8302,-0.1132792,1.017055,0
225.3738,-0.01194149,1.002176,0,41.02098,-0.1133307,1.016667,0
226.3765,-0.01194412,1.002125,0,41.21179,-0.1133811,1.016279,0
227.3782,-0.01194668,1.002075,0,41.40262,-0.1134302,1.01589,0
228.3788,-0.01194919,1.002024,0,41.59341,-0.1134781,1.015501,0
229.379,-0.01195163,1.001973,0,41.78422,-0.1135249,1.015112,0
230.3818,-0.01195405,1.001922,0,41.97887,-0.1135714,1.014715,0
231.3845,-0.01195636,1.001871,0,42.16965,-0.1136157,1.014326,0
232.3845,-0.01195861,1.00182,0,42.36045,-0.1136589,1.013937,0
233.3882,-0.01196081,1.001769,0,42.55128,-0.1137009,1.013547,0
234.3935,-0.01196294,1.001718,0,42.74207,-0.1137417,1.013157,0
235.396,-0.011965,1.001668,0,42.93288,-0.1137813,1.012768,0
236.3995,-0.011967,1.001617,0,43.12372,-0.1138197,1.012378,0
237.4022,-0.01196898,1.001565,0,43.31833,-0.1138576,1.01198,0
238.4049,-0.01197086,1.001514,0,43.50913,-0.1138936,1.01159,0
239.4121,-0.01197268,1.001463,0,43.69995,-0.1139284,1.011199,0
240.4121,-0.01197443,1.001412,0,43.89075,-0.113962,1.010808,0
241.4129,-0.01197612,1.001361,0,44.08154,-0.1139944,1.010418,0
242.4153,-0.01197775,1.00131,0,44.27237,-0.1140257,1.010027,0
243.4183,-0.01197932,1.001259,0,44.46319,-0.1140557,1.009636,0
244.4213,-0.01198085,1.001207,0,44.65779,-0.1140851,1.009237,0
245.4237,-0.01198229,1.001156,0,44.8486,-0.1141127,1.008846,0
246.4267,-0.01198367,1.001105,0,45.03942,-0.1141391,1.008455,0
247.4274,-0.01198499,1.001054,0,45.23021,-0.1141644,1.008064,0
248.4295,-0.01198624,1.001003,0,45.42101,-0.1141884,1.007673,0
249.4314,-0.01198743,1.000952,0,45.61183,-0.1142112,1.007281,0
250.4332,-0.01198856,1.000901,0,45.80265,-0.1142329,1.00689,0
251.4363,-0.01198963,1.00085,0,45.99345,-0.1142533,1.006498,0
252.4366,-0.01199063,1.000799,0,46.18426,-0.1142726,1.006106,0
253.4396,-0.01199157,1.000748,0,46.37508,-0.1142906,1.005715,0
254.4401,-0.01199247,1.000695,0,46.56969,-0.1143078,1.005315,0
255.4409,-0.01199329,1.000644,0,46.76048,-0.1143234,1.004923,0
256.4441,-0.01199404,1.000593,0,46.9513,-0.1143379,1.004531,0
257.4483,-0.01199473,1.000542,0,47.14213,-0.1143511,1.004139,0
258.4534,-0.01199536,1.000491,0,47.33293,-0.1143631,1.003747,0
259.454,-0.01199592,1.00044,0,47.52373,-0.114374,1.003355,0
260.4567,-0.01199642,1.000389,0,47.71454,-0.1143836,1.002963,0
261.4571,-0.01199687,1.000338,0,47.90535,-0.1143921,1.002571,0
262.4602,-0.01199725,1.000286,0,48.09996,-0.1143994,1.002171,0
263.4604,-0.01199757,1.000234,0,48.29077,-0.1144055,1.001779,0
264.4605,-0.01199782,1.000183,0,48.48159,-0.1144103,1.001387,0
265.4633,-0.01199801,1.000132,0,48.6724,-0.1144139,1.000994,0
266.4636,-0.01199813,1.000081,0,48.86321,-0.1144164,1.000602,0
267.4666,-0.0119982,1.00003,0,49.054,-0.1144176,1.00021,0
268.4695,-0.0119982,0.9999784,0,49.24479,-0.1144176,0.9998175,0
269.4722,-0.01199814,0.9999272,0,49.43561,-0.1144165,0.9994252,0
270.475,-0.01199802,0.999876,0,49.62645,-0.1144141,0.9990329,0
271.4776,-0.01199783,0.9998249,0,49.81724,-0.1144105,0.9986408,0
272.4784,-0.01199758,0.9997736,0,50.00805,-0.1144058,0.9982484,0
273.4811,-0.01199726,0.9997215,0,50.20267,-0.1143997,0.9978484,0
274.482,-0.01199689,0.9996704,0,50.39347,-0.1143925,0.9974564,0
275.4832,-0.01199646,0.9996193,0,50.58428,-0.1143841,0.9970642,0
276.4853,-0.01199595,0.999568,0,50.77509,-0.1143745,0.996672,0
277.4865,-0.01199539,0.9995169,0,50.9659,-0.1143638,0.9962801,0
278.4873,-0.01199477,0.9994658,0,51.15671,-0.1143518,0.995888,0
279.4878,-0.01199408,0.9994146,0,51.34752,-0.1143386,0.9954959,0
280.4915,-0.01199333,0.9993635,0,51.53833,-0.1143243,0.995104,0
281.4947,-0.01199252,0.9993125,0,51.72912,-0.1143087,0.9947122,0
282.4949,-0.01199164,0.9992613,0,51.91994,-0.1142919,0.9943205,0
283.4952,-0.01199071,0.9992101,0,52.11075,-0.114274,0.9939286,0
284.4957,-0.01198971,0.999159,0,52.30157,-0.1142548,0.9935368,0
285.496,-0.01198865,0.9991081,0,52.49238,-0.1142345,0.9931453,0
